Given input File : input_small_id
Given query File : query_small_id
k : 4
L : 5
number of nearest : 5
Radius : 1000.000000
Given output File : wchange
DIMENSION = 128
Number of vectors in input file: 10000
*!*!**!*!* HASHSIZE = 1250
QINDEX = 13 | QID = 13 | RADIUS = 1000.000000
QINDEX = 102 | QID = 102 | RADIUS = 1000.000000
QINDEX = 82 | QID = 82 | RADIUS = 1000.000000
QINDEX = 589 | QID = 589 | RADIUS = 1000.000000
QINDEX = 542 | QID = 542 | RADIUS = 1000.000000
QINDEX = 1141 | QID = 1141 | RADIUS = 1000.000000
QINDEX = 1045 | QID = 1045 | RADIUS = 1000.000000
QINDEX = 843 | QID = 843 | RADIUS = 1000.000000
QINDEX = 1172 | QID = 1172 | RADIUS = 1000.000000
QINDEX = 1003 | QID = 1003 | RADIUS = 1000.000000
QINDEX = 1131 | QID = 1131 | RADIUS = 1000.000000
QINDEX = 756 | QID = 756 | RADIUS = 1000.000000
QINDEX = 248 | QID = 248 | RADIUS = 1000.000000
QINDEX = 1183 | QID = 1183 | RADIUS = 1000.000000
QINDEX = 1214 | QID = 1214 | RADIUS = 1000.000000
QINDEX = 387 | QID = 387 | RADIUS = 1000.000000
QINDEX = 571 | QID = 571 | RADIUS = 1000.000000
QINDEX = 110 | QID = 110 | RADIUS = 1000.000000
QINDEX = 490 | QID = 490 | RADIUS = 1000.000000
QINDEX = 536 | QID = 536 | RADIUS = 1000.000000
QINDEX = 1093 | QID = 1093 | RADIUS = 1000.000000
QINDEX = 966 | QID = 966 | RADIUS = 1000.000000
QINDEX = 522 | QID = 522 | RADIUS = 1000.000000
QINDEX = 148 | QID = 148 | RADIUS = 1000.000000
QINDEX = 283 | QID = 283 | RADIUS = 1000.000000
QINDEX = 267 | QID = 267 | RADIUS = 1000.000000
QINDEX = 177 | QID = 177 | RADIUS = 1000.000000
QINDEX = 515 | QID = 515 | RADIUS = 1000.000000
QINDEX = 1194 | QID = 1194 | RADIUS = 1000.000000
QINDEX = 1201 | QID = 1201 | RADIUS = 1000.000000
QINDEX = 295 | QID = 295 | RADIUS = 1000.000000
QINDEX = 173 | QID = 173 | RADIUS = 1000.000000
QINDEX = 323 | QID = 323 | RADIUS = 1000.000000
QINDEX = 218 | QID = 218 | RADIUS = 1000.000000
QINDEX = 591 | QID = 591 | RADIUS = 1000.000000
QINDEX = 989 | QID = 989 | RADIUS = 1000.000000
QINDEX = 744 | QID = 744 | RADIUS = 1000.000000
QINDEX = 1230 | QID = 1230 | RADIUS = 1000.000000
QINDEX = 414 | QID = 414 | RADIUS = 1000.000000
QINDEX = 541 | QID = 541 | RADIUS = 1000.000000
QINDEX = 1098 | QID = 1098 | RADIUS = 1000.000000
QINDEX = 581 | QID = 581 | RADIUS = 1000.000000
QINDEX = 861 | QID = 861 | RADIUS = 1000.000000
QINDEX = 374 | QID = 374 | RADIUS = 1000.000000
QINDEX = 1075 | QID = 1075 | RADIUS = 1000.000000
QINDEX = 595 | QID = 595 | RADIUS = 1000.000000
QINDEX = 572 | QID = 572 | RADIUS = 1000.000000
QINDEX = 201 | QID = 201 | RADIUS = 1000.000000
QINDEX = 352 | QID = 352 | RADIUS = 1000.000000
_________________Options____________________

1. /repeat <new_input_file>

2. /exit

_____________________________________


>Enter a command: 
